Time,Gas1,Liquid1,Gas2
0,22.461555,22.007742,22.206536
0.367,21.914917,21.952748,21.821923
0.734,20.981555,21.88494,21.541388
1.101,20.025179,21.800454,21.271938
1.468,19.349072,21.690295,20.987314
1.835,19.119828,21.554862,20.752101
2.202,18.960326,21.45122,20.507227
2.569,18.709331,21.316845,20.084527
2.936,18.450818,21.151877,19.314491
3.303,18.162126,20.980261,18.729504
3.67,17.995409,20.820972,18.325374
4.037,17.833832,20.631642,17.814175
4.404,17.714389,20.45981,17.182245
4.771,17.581216,20.247133,16.685664
5.138,17.392058,20.056672,16.228622
5.505,17.228344,19.874853,15.845741
5.872,17.066646,19.662243,15.496555
6.239,16.966798,19.45284,15.227132
6.606,16.874699,19.265278,14.959013
6.973,16.816643,19.094989,14.754268
7.34,16.761414,18.879856,14.546158
7.707,16.694277,18.682882,14.395241
8.074,16.669929,18.510199,14.240981
8.441,16.6205,18.253437,14.073878
8.808,16.593723,18.059084,13.994182
9.175,16.575156,17.823464,13.859626
9.542,16.563213,17.622997,13.762342
9.909,16.544402,17.415878,13.65005
10.276,16.512371,17.205565,13.563595
10.643,16.501703,17.004641,13.489243
11.01,16.487551,16.794647,13.39465
11.377,16.466213,16.592787,13.321658
11.744,16.422877,16.358854,13.223776
12.111,16.39573,16.138589,13.141051
12.478,16.343253,15.93439,13.075441
12.845,16.344925,15.730981,13.023593
13.212,16.315007,15.536818,12.949806
13.579,16.264613,15.349986,12.872465
13.946,16.221881,15.149842,12.80914
14.313,16.20492,14.96171,12.742148
14.68,16.161648,14.797369,12.668836
15.047,16.110578,14.581101,12.621005
15.414,16.08456,14.397312,12.537972
15.781,16.079001,14.173714,12.471276
16.148,16.025383,13.976413,12.420876
16.515,15.998943,13.786369,12.325166
16.882,15.915273,13.581136,12.257171
17.249,15.90145,13.41708,12.197553
17.616,15.87256,13.227555,12.156278
17.983,15.847837,13.03104,12.072871
18.35,15.801833,12.869533,11.991255
18.717,15.765714,12.671432,11.93522
19.084,15.705132,12.479181,11.86577
19.451,15.672252,12.290099,11.7642
19.818,15.629856,12.090861,11.721269
20.185,15.566624,11.866805,11.627077
20.552,15.542409,11.660627,11.562121
20.919,15.502066,11.45444,11.505271
21.286,15.460348,11.252206,11.42966
21.653,15.408226,11.045871,11.388628
22.02,15.372738,10.857856,11.324948
22.387,15.310362,10.656621,11.251163
22.754,15.266587,10.451495,11.2012
23.121,15.222786,10.2482,11.148279
23.488,15.176773,10.061444,11.073432
23.855,15.124397,9.870892,11.011047
24.222,15.06071,9.673283,10.96956
24.589,15.017134,9.466494,10.906414
24.956,14.94099,9.285237,10.839352
25.323,14.897973,9.081911,10.805582
25.69,14.835168,8.886854,10.745115
26.057,14.774723,8.69347,10.679121
26.424,14.760358,8.514565,10.614851
26.791,14.691457,8.326012,10.577113
27.158,14.619059,8.113952,10.514901
27.525,14.558501,7.896983,10.444767
27.892,14.508692,7.724347,10.4276
28.259,14.421856,7.539091,10.366774
28.626,14.359231,7.335362,10.310867
28.993,14.306532,7.140905,10.235148
29.36,14.225073,6.945388,10.194581
29.727,14.14945,6.748446,10.130664
30.094,14.086124,6.549023,10.079613
30.461,13.977343,6.351337,10.047831
30.828,13.937672,6.151567,9.978542
31.195,13.871489,5.987082,9.965993
31.562,13.772459,5.790694,9.904215
31.929,13.729164,5.587618,9.845366
32.296,13.633714,5.398031,9.778265
32.663,13.582438,5.226614,9.745739
33.03,13.490059,5.043144,9.692427
33.397,13.417824,4.848476,9.638251
33.764,13.352096,4.674651,9.593399
34.131,13.2918,4.494193,9.515726
34.498,13.184352,4.305764,9.464598
34.865,13.093484,4.117488,9.440795
35.232,13.041971,3.927141,9.400094
35.599,12.955358,3.744783,9.336308
35.966,12.860809,3.58105,9.288326
36.333,12.811288,3.384412,9.240409
36.7,12.729757,3.205278,9.185995
37.067,12.659536,3.021956,9.137876
37.434,12.581147,2.840287,9.093568
37.801,12.497788,2.650001,9.03807
38.168,12.383621,2.48536,9.004765
38.535,12.321815,2.29495,8.972011
38.902,12.282751,2.121879,8.887896
39.269,12.177067,1.945892,8.846465
39.636,12.103152,1.750769,8.809673
40.003,12.015597,1.567267,8.756354
40.37,11.967061,1.388645,8.7199
40.737,11.898259,1.218656,8.657652
41.104,11.831706,1.00888,8.621531
41.471,11.753848,0.852424,8.573029
41.838,11.685026,0.643836,8.542964
42.205,11.605999,0.462154,8.499895
42.572,11.535843,0.285902,8.445301
42.939,11.478597,0.091667,8.422918
43.306,11.386232,-0.116844,8.376244
43.673,11.325872,-0.306466,8.346932
44.04,11.225548,-0.475682,8.292171
44.407,11.164399,-0.652067,8.237834
44.774,11.074528,-0.827948,8.205626
45.141,11.00137,-0.998234,8.197174
45.508,10.915654,-1.160083,8.137196
45.875,10.840954,-1.310919,8.111453
46.242,10.768602,-1.473866,8.086806
46.609,10.683052,-1.669423,8.058977
46.976,10.608717,-1.817687,8.029185
47.343,10.526914,-2.004126,7.977487
47.71,10.433357,-2.159489,7.984987
48.077,10.36175,-2.332284,7.939588
48.444,10.295393,-2.513045,7.91961
48.811,10.222145,-2.684608,7.91855
49.178,10.163752,-2.860912,7.895942
49.545,10.08007,-3.047775,7.85131
49.912,10.007648,-3.200434,7.81618
50.279,9.941243,-3.377466,7.81965
50.646,9.873851,-3.540784,7.790514
51.013,9.784124,-3.721158,7.790915
51.38,9.727648,-3.897416,7.76157
51.747,9.647207,-4.051055,7.749317
52.114,9.566322,-4.236953,7.748924
52.481,9.477122,-4.423417,7.721795
52.848,9.406382,-4.58654,7.689169
53.215,9.340658,-4.748468,7.703832
53.582,9.259701,-4.930471,7.699602
53.949,9.197514,-5.075336,7.695816
54.316,9.107931,-5.245629,7.683965
54.683,9.020024,-5.417109,7.66827
55.05,8.961605,-5.575309,7.655815
55.417,8.878748,-5.756237,7.650364
55.784,8.7783,-5.913361,7.628434
56.151,8.706173,-6.049667,7.625689
56.518,8.639682,-6.219274,7.629847
56.885,8.555122,-6.382395,7.629151
57.252,8.472239,-6.537254,7.637222
57.619,8.431906,-6.668861,7.608755
57.986,8.32525,-6.821547,7.615814
58.353,8.254881,-6.946447,7.619693
58.72,8.190377,-7.090856,7.597216
59.087,8.112814,-7.204299,7.594449
59.454,8.034631,-7.357107,7.597054
59.821,7.978029,-7.484538,7.616637
60.188,7.899663,-7.627591,7.613868
60.555,7.834666,-7.753611,7.620487
60.922,7.769251,-7.886773,7.610797
61.289,7.694809,-8.00509,7.632719
61.656,7.637562,-8.126446,7.622778
62.023,7.551617,-8.285785,7.615697
62.39,7.473822,-8.405142,7.609859
62.757,7.406443,-8.534092,7.631299
63.124,7.341882,-8.6698,7.625149
63.491,7.2603,-8.789184,7.617747
63.858,7.199188,-8.927204,7.632623
64.225,7.162847,-9.067036,7.624722
64.592,7.085539,-9.192387,7.635987
64.959,7.021027,-9.316961,7.633533
65.326,6.94154,-9.448941,7.630184
65.693,6.881195,-9.569633,7.637644
66.06,6.801079,-9.709035,7.671902
66.427,6.748483,-9.819337,7.672104
66.794,6.697725,-9.935971,7.672283
67.161,6.631667,-10.069475,7.659721
67.528,6.570574,-10.181031,7.66974
67.895,6.500024,-10.296451,7.665062
68.262,6.461284,-10.414643,7.700518
68.629,6.406193,-10.564445,7.688441
68.996,6.316394,-10.656486,7.712716
69.363,6.243816,-10.783897,7.712213
69.73,6.187575,-10.921591,7.71673
70.097,6.125402,-11.01045,7.738265
70.464,6.054329,-11.152343,7.732475
70.831,5.99995,-11.257497,7.758206
71.198,5.943515,-11.352505,7.759919
71.565,5.875297,-11.482417,7.779535
71.932,5.779924,-11.595549,7.77935
72.299,5.723492,-11.712867,7.777688
72.666,5.647855,-11.835878,7.806201
73.033,5.600402,-11.942517,7.791264
73.4,5.535118,-12.046145,7.825352
73.767,5.470654,-12.18607,7.834475
74.134,5.383621,-12.273644,7.860072
74.501,5.343319,-12.391812,7.850385
74.868,5.267719,-12.534153,7.874328
75.235,5.193584,-12.608344,7.867095
75.602,5.136667,-12.726265,7.91214
75.969,5.101559,-12.833502,7.899611
76.336,5.016441,-12.983613,7.90569
76.703,4.951541,-13.086383,7.926915
77.07,4.901991,-13.22214,7.928035
77.437,4.829237,-13.341148,7.947878
77.804,4.789262,-13.462919,7.963947
78.171,4.707986,-13.539443,8.006326
78.538,4.635004,-13.670068,7.99514
78.905,4.59304,-13.77578,8.009852
79.272,4.541015,-13.910085,8.02765
79.639,4.472939,-13.993441,8.031656
80.006,4.431765,-14.125095,8.079916
80.373,4.382456,-14.202053,8.072826
80.74,4.31368,-14.30633,8.086149
81.107,4.247001,-14.411228,8.119078
81.474,4.191286,-14.519828,8.136838
81.841,4.115673,-14.630539,8.154507
82.208,4.058785,-14.746543,8.16569
82.575,4.016996,-14.834969,8.156509
82.942,3.937615,-14.93811,8.186631
83.309,3.876566,-15.034086,8.192314
83.676,3.807375,-15.13029,8.203148
84.043,3.770567,-15.23009,8.233826
84.41,3.707787,-15.33394,8.250993
84.777,3.656076,-15.404603,8.272661
85.144,3.604635,-15.518745,8.290967
85.511,3.557021,-15.623797,8.294941
85.878,3.508028,-15.701857,8.31326
86.245,3.475533,-15.802148,8.33412
86.612,3.388822,-15.915566,8.349568
86.979,3.349142,-16.01656,8.383925
87.346,3.289871,-16.090305,8.369068
87.713,3.230869,-16.173486,8.378039
88.08,3.159111,-16.272582,8.419391
88.447,3.122971,-16.37105,8.42329
88.814,3.075479,-16.432481,8.463624
89.181,3.013894,-16.536056,8.471086
89.548,2.954996,-16.606435,8.494256
89.915,2.909849,-16.695004,8.512322
90.282,2.851282,-16.791083,8.509807
90.649,2.797176,-16.874562,8.535003
91.016,2.744923,-17.011385,8.574131
91.383,2.71017,-17.033917,8.586848
91.75,2.655831,-17.150685,8.604054
92.117,2.606965,-17.214899,8.612671
92.484,2.558517,-17.306827,8.635792
92.851,2.511167,-17.380531,8.657795
93.218,2.445698,-17.468408,8.651897
93.585,2.406115,-17.568032,8.687909
93.952,2.35671,-17.629403,8.707987
94.319,2.32778,-17.730698,8.723092
94.686,2.249199,-17.814515,8.736665
95.053,2.234498,-17.882666,8.768403
95.42,2.166231,-17.986148,8.775446
95.787,2.111519,-18.038022,8.806918
96.154,2.050273,-18.13734,8.817951
96.521,2.039259,-18.209269,8.833119
96.888,1.98313,-18.296936,8.833009
97.255,1.945555,-18.360976,8.86039
97.622,1.903416,-18.429352,8.884966
97.989,1.840501,-18.494105,8.901983
98.356,1.780827,-18.561379,8.914763
98.723,1.729073,-18.6386,8.949417
99.09,1.727957,-18.72075,8.956434
99.457,1.676835,-18.762008,8.984697
99.824,1.604063,-18.812154,9.009914
100.191,1.582552,-18.887019,9.006522
100.558,1.531701,-18.921348,9.019447
100.925,1.470053,-18.963099,9.029825
101.292,1.436732,-19.012596,9.065657
101.659,1.39876,-19.056402,9.078486
102.026,1.356132,-19.063424,9.097904
102.393,1.30259,-19.148765,9.089025
102.76,1.241949,-19.215319,9.125714
103.127,1.22512,-19.269879,9.141458
103.494,1.198414,-19.302691,9.171018
103.861,1.157855,-19.382044,9.191946
104.228,1.127044,-19.452069,9.194294
104.595,1.077031,-19.510863,9.191541
104.962,1.056871,-19.587117,9.233971
105.329,1.02757,-19.632459,9.225481
105.696,0.962865,-19.69219,9.275221
106.063,0.917141,-19.731172,9.284361
106.43,0.900356,-19.812644,9.300374
106.797,0.844934,-19.836179,9.322732
107.164,0.810542,-19.889641,9.33443
107.531,0.797555,-19.938412,9.338061
107.898,0.738054,-20.005824,9.359295
108.265,0.68575,-20.072989,9.393647
108.632,0.658555,-20.12254,9.408236
108.999,0.632839,-20.185167,9.422911
109.366,0.586762,-20.248656,9.453655
109.733,0.550692,-20.291275,9.468923
110.1,0.526694,-20.360452,9.457477
110.467,0.46081,-20.420843,9.481548
110.834,0.448308,-20.463879,9.509742
111.201,0.422225,-20.515364,9.556214
111.568,0.372163,-20.555931,9.535794
111.935,0.352662,-20.633987,9.541188
112.302,0.304165,-20.663207,9.574938
112.669,0.294038,-20.689853,9.603948
113.036,0.248792,-20.741228,9.604226
113.403,0.224422,-20.810934,9.637195
113.77,0.194279,-20.814191,9.653025
114.137,0.142152,-20.867838,9.661498
114.504,0.127848,-20.915037,9.66609
114.871,0.084187,-20.971472,9.709552
115.238,0.076679,-21.013255,9.713341
115.605,0.031265,-21.019391,9.731206
115.972,-0.017999,-21.060466,9.762528
116.339,-0.021157,-21.113239,9.785299
116.706,-0.035452,-21.121172,9.776522
117.073,-0.089253,-21.170801,9.830094
117.44,-0.121669,-21.19278,9.836671
117.807,-0.163833,-21.214627,9.845144
118.174,-0.163901,-21.250194,9.851747
118.541,-0.211474,-21.261608,9.882409
118.908,-0.242093,-21.268207,9.881933
119.275,-0.263868,-21.292091,9.899205
119.642,-0.308272,-21.298165,9.911614
120.009,-0.308574,-21.287768,9.943977
120.376,-0.328979,-21.318917,9.938888
120.743,-0.381702,-21.340031,9.968531
121.11,-0.407013,-21.367712,9.97191
121.477,-0.419392,-21.345821,9.985716
121.844,-0.444522,-21.382042,10.005392
122.211,-0.456108,-21.373769,10.027318
122.578,-0.499493,-21.395791,10.030712
122.945,-0.53538,-21.382547,10.049741
123.312,-0.558595,-21.374757,10.084537
123.679,-0.58122,-21.382375,10.092787
124.046,-0.607375,-21.358043,10.103286
124.413,-0.609368,-21.358586,10.095343
124.78,-0.631288,-21.32769,10.134699
125.147,-0.661908,-21.320288,10.140399
125.514,-0.682635,-21.318995,10.181326
125.881,-0.699703,-21.305313,10.173909
126.248,-0.746236,-21.278811,10.210703
126.615,-0.753352,-21.227278,10.210327
126.982,-0.783955,-21.204698,10.221264
127.349,-0.806486,-21.200259,10.249145
127.716,-0.848393,-21.177106,10.246028
128.083,-0.853869,-21.151775,10.2549
128.45,-0.871404,-21.153524,10.272085
128.817,-0.876764,-21.129762,10.311126
129.184,-0.922039,-21.125276,10.334093
129.551,-0.950584,-21.083382,10.321774
129.918,-0.944624,-21.070907,10.334623
130.285,-0.986432,-21.049553,10.371125
130.652,-0.992282,-21.048915,10.370635
131.019,-1.002536,-21.055874,10.400044
131.386,-1.017115,-21.030474,10.38876
131.753,-1.022625,-21.032968,10.43823
132.12,-1.035036,-21.030379,10.438234
132.487,-1.056363,-21.036562,10.462038
132.854,-1.077703,-21.021792,10.451906
133.221,-1.099441,-21.003356,10.453077
133.588,-1.099972,-20.992485,10.490607
133.955,-1.139917,-21.011831,10.484525
134.322,-1.108765,-20.973706,10.545328
134.689,-1.163154,-20.99476,10.542249
135.056,-1.158717,-20.991882,10.549855
135.423,-1.169681,-20.979578,10.574663
135.79,-1.188482,-21.029147,10.576648
136.157,-1.193143,-21.002865,10.600141
136.524,-1.21236,-21.011727,10.615259
136.891,-1.20773,-21.024636,10.613436
137.258,-1.224185,-21.024528,10.626634
137.625,-1.23313,-21.010693,10.65648
137.992,-1.240196,-21.026312,10.67468
138.359,-1.262019,-21.012012,10.682082
138.726,-1.28079,-21.014032,10.693732
139.093,-1.27363,-21.01822,10.702478
139.46,-1.287028,-21.019039,10.719458
139.827,-1.311476,-21.006691,10.739665
140.194,-1.3098,-21.043521,10.75358
140.561,-1.327287,-21.040121,10.753721
140.928,-1.308236,-21.0204,10.778435
141.295,-1.348523,-21.020612,10.788488
141.662,-1.359629,-21.01458,10.78555
142.029,-1.345307,-21.015135,10.843028
142.396,-1.362499,-21.018263,10.829799
142.763,-1.365628,-21.021495,10.85135
143.13,-1.363847,-21.027342,10.872848
143.497,-1.371949,-21.051005,10.887151
143.864,-1.357601,-21.031728,10.890755
144.231,-1.367298,-21.050303,10.888907
144.598,-1.402403,-21.046615,10.915359
144.965,-1.38425,-21.069184,10.947505
145.332,-1.414216,-21.044788,10.948537
145.699,-1.407555,-21.07769,10.974521
146.066,-1.394572,-21.096991,10.967332
146.433,-1.374126,-21.110444,10.977262
146.8,-1.404333,-21.160355,11.017721
147.167,-1.411136,-21.19404,11.029936
147.534,-1.405873,-21.241847,11.038248
147.901,-1.413518,-21.286571,11.052363
148.268,-1.41721,-21.331493,11.047802
148.635,-1.402366,-21.412059,11.079026
149.002,-1.416462,-21.456925,11.069037
149.369,-1.39803,-21.505128,11.104986
149.736,-1.428072,-21.54885,11.084654
150.103,-1.396614,-21.601218,11.119951
150.47,-1.40411,-21.642282,11.125076
150.837,-1.417817,-21.692087,11.129373
151.204,-1.404877,-21.710816,11.144137
151.571,-1.379494,-21.768919,11.181683
151.938,-1.409751,-21.788324,11.180373
152.305,-1.380434,-21.805382,11.194333
152.672,-1.389915,-21.817963,11.20001
153.039,-1.37399,-21.836813,11.240946
153.406,-1.359357,-21.860181,11.248882
153.773,-1.380187,-21.845964,11.248734
154.14,-1.371912,-21.863581,11.24323
154.507,-1.367595,-21.872974,11.258218
154.874,-1.343502,-21.902833,11.30037
155.241,-1.340607,-21.879852,11.287905
155.608,-1.339649,-21.869608,11.292808
155.975,-1.311792,-21.888456,11.324632
156.342,-1.311186,-21.86075,11.317945
156.709,-1.323751,-21.870398,11.328981
157.076,-1.299598,-21.854295,11.350011
157.443,-1.301286,-21.860983,11.344366
157.81,-1.290404,-21.846477,11.380137
158.177,-1.25946,-21.823856,11.376517
158.544,-1.255034,-21.804191,11.396594
158.911,-1.243671,-21.78457,11.383541
159.278,-1.254539,-21.759053,11.430837
159.645,-1.220354,-21.750498,11.428576
160.012,-1.200122,-21.752616,11.451932
160.379,-1.191605,-21.728562,11.463613
160.746,-1.175732,-21.699596,11.463044
161.113,-1.188792,-21.695175,11.46605
161.48,-1.152438,-21.694856,11.477129
161.847,-1.135233,-21.655147,11.482494
162.214,-1.100875,-21.668031,11.513385
162.581,-1.107734,-21.654768,11.510467
162.948,-1.108537,-21.642941,11.543143
163.315,-1.067275,-21.624309,11.534498
